userid	movieid	rating	timestamp	gender	occupation	agerange
20	288	1	879667584	M	programmer	1
201	219	4	884112673	F	lawyer	45
13	526	3	882141053	M	programmer	50
246	919	4	884920949	M	sales/marketing	18
138	26	5	879024232	M	writer	18
167	232	1	892738341	M	artist	56
60	427	5	883326620	M	lawyer	1
57	304	5	883698581	F	writer	45
223	274	4	891550094	F	sales/marketing	35
189	512	4	893277702	M	executive/managerial	18
243	15	3	879987440	M	retired	25
92	1049	1	890251826	F	executive/managerial	18
246	416	3	884923047	M	programmer	56
194	165	4	879546723	M	retired	1
241	690	2	887249482	M	homemaker	56
178	248	4	882823954	M	technician/engineer	45
254	1444	3	886475558	M	college/grad student	56
293	5	3	888906576	F	artist	1
127	229	5	884364867	F	writer	56
225	237	5	879539643	M	technician/engineer	50
299	229	3	878192429	F	self-employed	18
225	480	5	879540748	F	college/grad student	1
276	54	3	874791025	M	self-employed	45
291	144	5	874835091	F	artist	45
222	366	4	878183381	M	doctor/health care	45
267	518	5	878971773	M	customer service	1
42	403	3	881108684	M	retired	25
11	111	4	891903862	F	programmer	18
95	625	4	888954412	F	clerical/admin	45
8	338	4	879361873	F	retired	45
162	25	4	877635573	M	self-employed	45
87	1016	4	879876194	F	self-employed	56
279	154	5	875296291	F	scientist	18
145	275	2	885557505	M	artist	1
119	1153	5	874781198	M	customer service	56
62	498	4	879373848	F	tradesman/craftsman	1
62	382	3	879375537	M	college/grad student	45
28	209	4	881961214	M	homemaker	50
135	23	4	879857765	M	farmer	18
32	294	3	883709863	F	scientist	18
90	382	5	891383835	F	tradesman/craftsman	1
286	208	4	877531942	M	academic/educator	45
293	685	3	888905170	M	customer service	1
216	144	4	880234639	F	sales/marketing	18
166	328	5	886397722	F	doctor/health care	50
250	496	4	878090499	F	writer	35
271	132	5	885848672	M	technician/engineer	18
160	174	5	876860807	M	doctor/health care	25
265	118	4	875320714	F	clerical/admin	1
198	498	3	884207492	M	lawyer	18
42	96	5	881107178	F	farmer	18
168	151	5	884288058	F	unemployed	18
110	307	4	886987260	F	executive/managerial	18
58	144	4	884304936	M	writer	45
90	648	4	891384754	F	executive/managerial	56
271	346	4	885844430	M	writer	50
62	21	3	879373460	M	scientist	1
279	832	3	881375854	M	farmer	45
237	514	4	879376641	M	college/grad student	50
94	789	4	891720887	M	unemployed	50
128	485	3	879966895	F	unemployed	18
298	317	4	884182806	F	sales/marketing	18
44	195	5	878347874	F	tradesman/craftsman	50
264	200	5	886122352	M	other	50
194	385	2	879524643	M	retired	35
72	195	5	880037702	M	homemaker	1
222	750	5	883815120	M	lawyer	18
250	264	3	878089182	F	unemployed	25
41	265	3	890687042	M	artist	50
224	245	3	888082216	F	tradesman/craftsman	45
82	135	3	878769629	M	retired	56
262	1147	4	879791710	M	academic/educator	56
293	471	3	888904884	F	scientist	45
216	658	3	880245029	F	scientist	56
250	140	3	878092059	F	programmer	1
59	23	5	888205300	F	artist	25
286	379	5	877533771	M	clerical/admin	25
244	815	4	880605185	M	doctor/health care	45
7	479	4	891352010	M	retired	50
174	368	1	886434402	M	writer	18
87	274	4	879876734	M	sales/marketing	35
194	1211	2	879551380	M	technician/engineer	45
82	1134	2	884714402	M	scientist	25
13	836	2	882139746	F	customer service	35
13	272	4	884538403	F	customer service	50
244	756	2	880605157	F	unemployed	25
305	427	5	886323090	F	other	56
95	787	2	888954930	M	retired	18
43	14	2	883955745	M	lawyer	50
299	955	4	889502823	M	sales/marketing	18
57	419	3	883698454	M	homemaker	18
84	405	3	883452363	M	technician/engineer	18
269	504	4	891449922	M	retired	25
299	111	3	877878184	F	artist	35
194	466	4	879525876	F	unemployed	18
160	135	4	876860807	F	writer	18
99	268	3	885678247	M	programmer	1
10	486	4	877886846	M	artist	50
259	117	4	874724988	M	doctor/health care	1
85	427	3	879456350	F	unemployed	35
303	919	4	879467295	F	artist	25
213	273	5	878870987	M	lawyer	45
121	514	3	891387947	F	lawyer	56
90	98	5	891383204	F	college/grad student	25
49	559	2	888067405	F	unemployed	45
42	794	3	881108425	F	artist	18
155	323	2	879371261	F	farmer	18
68	117	4	876973939	M	executive/managerial	18
172	177	4	875537965	M	academic/educator	18
19	4	4	885412840	F	executive/managerial	50
268	231	4	875744136	M	scientist	50
5	2	3	875636053	F	retired	1
305	117	2	886324028	M	sales/marketing	50
44	294	4	883612356	F	college/grad student	50
43	137	4	875975656	F	retired	45
279	1336	1	875298353	F	academic/educator	18
80	466	5	887401701	F	doctor/health care	1
254	164	4	886472768	M	programmer	56
298	281	3	884183336	M	lawyer	50
279	1240	1	892174404	M	writer	1
66	298	4	883601324	M	doctor/health care	1
18	443	3	880130193	M	technician/engineer	25
268	1035	2	875542174	F	executive/managerial	56
99	79	4	885680138	F	college/grad student	18
13	98	4	881515011	M	homemaker	56
26	258	3	891347949	F	clerical/admin	50
7	455	4	891353086	F	other	1
222	755	4	878183481	F	farmer	50
200	673	5	884128554	M	scientist	25
119	328	4	876923913	M	programmer	25
213	172	5	878955442	F	K-12 student	56
276	322	3	874786392	F	retired	50
94	1217	3	891723086	F	sales/marketing	1
130	379	4	875801662	M	homemaker	45
38	328	4	892428688	M	unemployed	25
160	719	3	876857977	F	sales/marketing	1
293	1267	3	888906966	F	tradesman/craftsman	50
26	930	2	891385985	F	executive/managerial	1
130	216	4	875216545	M	programmer	56
92	1079	3	886443455	F	K-12 student	25
256	452	4	882164999	M	other	1
1	61	4	878542420	M	academic/educator	45
72	48	4	880036718	M	doctor/health care	50
56	755	3	892910207	F	programmer	1
13	360	4	882140926	M	self-employed	18
15	405	2	879455957	M	unemployed	1
92	77	3	875654637	M	lawyer	50
207	476	2	884386343	F	self-employed	56
292	174	5	881105481	M	sales/marketing	50
232	483	5	888549622	M	tradesman/craftsman	1
251	748	2	886272175	F	self-employed	50
224	26	3	888104153	M	programmer	45
181	220	4	878962392	M	artist	35
259	255	4	874724710	M	writer	56
305	471	4	886323648	F	tradesman/craftsman	56
52	280	3	882922806	M	doctor/health care	45
161	202	5	891170769	F	lawyer	45
148	408	5	877399018	F	technician/engineer	18
125	235	2	892838559	F	farmer	50
97	228	5	884238860	F	K-12 student	18
58	1098	4	884304936	M	academic/educator	1
83	234	4	887665548	M	academic/educator	50
90	347	4	891383319	M	technician/engineer	50
272	178	5	879455113	M	clerical/admin	50
194	181	3	879521396	F	unemployed	25
125	478	4	879454628	M	sales/marketing	50
110	688	1	886987605	F	self-employed	18
299	14	4	877877775	M	other	45
151	10	5	879524921	M	sales/marketing	50
269	127	4	891446165	F	writer	35
6	14	5	883599249	F	retired	18
54	106	3	880937882	F	self-employed	45
303	69	5	879467542	M	farmer	25
16	944	1	877727122	M	college/grad student	45
301	790	4	882078621	M	writer	25
276	1091	3	874793035	M	K-12 student	45
305	214	2	886323068	F	other	50
194	1028	2	879541148	F	customer service	18
91	323	2	891438397	F	clerical/admin	45
87	554	4	879875940	F	K-12 student	18
294	109	4	877819599	M	K-12 student	56
286	171	4	877531791	M	retired	35
200	318	5	884128458	F	programmer	18
229	328	1	891632142	F	technician/engineer	18
178	568	4	882826555	F	clerical/admin	18
303	842	2	879484804	M	programmer	45
62	65	4	879374686	F	writer	56
207	591	3	876018608	F	other	18
92	172	4	875653271	F	self-employed	25
301	401	4	882078040	F	farmer	45
36	339	5	882157581	M	artist	45
70	746	3	884150257	M	technician/engineer	1
63	242	3	875747190	M	academic/educator	50
28	201	3	881961671	M	executive/managerial	45
279	68	4	875307407	M	executive/managerial	45
250	7	4	878089716	M	retired	50
14	98	3	890881335	F	clerical/admin	50
299	1018	3	889502324	F	homemaker	25
194	54	3	879525876	M	college/grad student	50
303	815	3	879485532	F	lawyer	25
119	237	5	874775038	M	doctor/health care	45
295	218	5	879966498	M	clerical/admin	25
268	930	2	875742942	M	tradesman/craftsman	56
268	2	2	875744173	F	academic/educator	1
66	258	4	883601089	F	retired	18
233	202	5	879394264	M	executive/managerial	35
83	623	4	880308578	F	farmer	1
214	334	3	891542540	F	clerical/admin	50
192	476	2	881368243	M	technician/engineer	35
100	344	4	891374868	M	lawyer	1
268	145	1	875744501	F	scientist	25
301	56	4	882076587	M	K-12 student	56
307	89	5	879283786	M	scientist	18
234	141	3	892334609	F	artist	35
83	576	4	880308755	F	sales/marketing	18
181	264	2	878961624	M	customer service	35
297	133	4	875240090	M	retired	18
38	153	5	892430369	F	K-12 student	50
7	382	4	891352093	F	self-employed	25
264	813	4	886122952	M	writer	45
181	872	1	878961814	F	programmer	56
201	146	1	884140579	F	sales/marketing	56
85	507	4	879456199	F	customer service	18
269	367	3	891450023	F	farmer	56
59	468	3	888205855	M	doctor/health care	35
286	143	4	889651549	F	doctor/health care	45
193	96	1	889124507	M	college/grad student	25
113	595	5	875936424	M	K-12 student	25
292	11	5	881104093	M	unemployed	25
130	1014	3	876250718	F	unemployed	56
275	98	4	875155140	M	executive/managerial	35
189	520	5	893265380	F	unemployed	50
219	82	1	889452455	F	college/grad student	25
218	209	5	877488546	F	self-employed	45
123	427	3	879873020	M	artist	25
119	222	5	874775311	F	sales/marketing	56
158	177	4	880134407	F	college/grad student	25
222	118	4	877563802	M	clerical/admin	50
302	322	2	879436875	M	executive/managerial	50
279	501	3	875308843	M	K-12 student	25
301	79	5	882076403	F	K-12 student	18
181	3	2	878963441	M	artist	18
201	695	1	884140115	F	executive/managerial	18
13	198	3	881515193	F	lawyer	18
1	189	3	888732928	F	college/grad student	1
145	237	5	875270570	M	self-employed	45
23	385	4	874786462	M	academic/educator	35
201	767	4	884114505	M	technician/engineer	45
296	705	5	884197193	F	retired	56
42	546	3	881105817	M	scientist	18
33	872	3	891964230	F	technician/engineer	18
301	554	3	882078830	M	scientist	25
16	64	5	877720297	F	farmer	35
95	135	3	879197562	M	programmer	50
154	357	4	879138713	F	farmer	45
77	484	5	884733766	M	customer service	45
296	508	5	884196584	M	academic/educator	35
302	303	2	879436785	M	sales/marketing	45
244	673	3	880606667	M	executive/managerial	25
222	77	4	878183616	M	scientist	56
13	215	5	882140588	F	farmer	56
16	705	5	877722736	F	lawyer	18
270	452	4	876956264	F	technician/engineer	56
145	15	2	875270655	M	self-employed	25
187	64	5	879465631	M	artist	45
200	304	5	876041644	M	lawyer	1
170	749	5	887646170	M	doctor/health care	25
101	829	3	877136138	F	programmer	1
184	218	3	889909840	M	technician/engineer	56
128	204	4	879967478	F	artist	56
181	1295	1	878961781	F	writer	1
184	153	3	889911285	M	lawyer	50
1	33	4	878542699	F	tradesman/craftsman	50
1	160	4	875072547	M	scientist	56
184	321	5	889906967	F	artist	45
54	595	3	880937813	M	executive/managerial	1
94	343	4	891725009	M	programmer	25
128	508	4	879967767	M	programmer	1
23	323	2	874784266	F	writer	1
301	227	3	882077222	M	college/grad student	56
301	191	3	882075672	F	self-employed	50
112	903	1	892440172	M	writer	56
82	183	3	878769848	F	farmer	25
222	724	3	878181976	F	academic/educator	45
218	430	3	877488316	M	unemployed	45
308	1197	4	887739521	M	lawyer	35
303	134	5	879467959	M	farmer	35
133	751	3	890588547	M	writer	25
215	212	2	891435680	F	doctor/health care	1
69	256	5	882126156	F	other	56
254	662	4	887347350	F	farmer	18
276	2	4	874792436	M	tradesman/craftsman	1
104	984	1	888442575	F	executive/managerial	50
63	1067	3	875747514	F	farmer	18
267	410	4	878970785	M	doctor/health care	45
13	56	5	881515011	F	tradesman/craftsman	50
240	879	3	885775745	F	homemaker	50
286	237	2	875806800	M	sales/marketing	56
294	271	5	889241426	F	tradesman/craftsman	25
90	1086	4	891384424	M	customer service	18
18	26	4	880129731	F	unemployed	56
92	229	3	875656201	M	academic/educator	45
308	649	4	887739292	F	artist	50
144	89	3	888105691	F	academic/educator	35
191	302	4	891560253	F	scientist	50
59	951	3	888206409	F	K-12 student	1
200	96	5	884129409	M	executive/managerial	1
16	197	5	877726146	M	lawyer	45
61	678	3	892302309	M	other	18
271	199	4	885848448	M	clerical/admin	1
271	709	3	885849325	F	K-12 student	45
142	169	5	888640356	M	writer	50
275	597	3	876197678	M	homemaker	56
222	151	3	878182109	F	retired	50
87	40	3	879876917	F	technician/engineer	50
207	258	4	877879172	M	academic/educator	45
272	1393	2	879454663	F	farmer	45
177	333	4	880130397	F	technician/engineer	50
207	1115	2	879664906	F	lawyer	45
299	577	3	889503806	F	scientist	18
271	378	4	885849447	F	technician/engineer	25
305	425	4	886324486	M	homemaker	35
49	959	2	888068912	M	writer	56
94	1224	3	891722802	M	clerical/admin	45
130	1017	3	874953895	M	farmer	45
10	175	3	877888677	F	self-employed	45
203	321	3	880433418	F	clerical/admin	50
191	286	4	891560842	F	writer	18
43	323	3	875975110	M	tradesman/craftsman	25
21	558	5	874951695	M	doctor/health care	35
197	96	5	891409839	M	K-12 student	1
13	344	2	888073635	F	academic/educator	1
194	66	3	879527264	F	college/grad student	50
234	206	4	892334543	M	doctor/health care	18
308	402	4	887740700	M	unemployed	50
308	640	4	887737036	F	other	18
269	522	5	891447773	M	homemaker	18
94	265	4	891721889	M	retired	56
268	62	3	875310824	F	sales/marketing	45
272	12	5	879455254	M	other	1
121	291	3	891390477	F	college/grad student	18
296	20	5	884196921	F	college/grad student	45
134	286	3	891732334	F	farmer	18
180	462	5	877544218	F	self-employed	18
234	612	3	892079140	F	scientist	18
104	117	2	888465972	F	customer service	25
38	758	1	892434626	M	executive/managerial	18
269	845	1	891456255	M	artist	18
7	163	4	891353444	F	tradesman/craftsman	35
234	1451	3	892078343	F	technician/engineer	25
275	405	2	876197645	F	scientist	18
52	250	3	882922661	F	retired	56
102	823	3	888801465	M	tradesman/craftsman	1
13	186	4	890704999	M	clerical/admin	56
178	731	4	882827532	F	unemployed	1
236	71	3	890116671	M	technician/engineer	25
256	781	5	882165296	M	farmer	25
263	176	5	891299752	M	farmer	56
244	186	3	880605697	F	tradesman/craftsman	18
279	1181	4	875314001	F	self-employed	50
43	815	4	883956189	M	doctor/health care	1
83	78	2	880309089	F	other	50
151	197	5	879528710	F	farmer	25
254	436	2	886474216	M	clerical/admin	50
109	631	3	880579371	F	college/grad student	50
297	716	3	875239422	F	college/grad student	18
249	188	4	879641067	F	self-employed	50
144	699	4	888106106	F	self-employed	45
301	604	4	882075994	F	self-employed	35
64	392	3	889737542	M	executive/managerial	45
92	501	2	875653665	F	sales/marketing	56
222	97	4	878181739	M	writer	45
268	436	3	875310745	M	academic/educator	25
293	135	5	888905550	M	clerical/admin	1
213	173	5	878955442	F	artist	35
160	460	2	876861185	F	self-employed	45
13	498	4	882139901	M	farmer	1
59	715	5	888205921	F	customer service	25
5	17	4	875636198	M	farmer	56
125	163	5	879454956	F	writer	56
174	315	5	886432749	M	executive/managerial	35
114	505	3	881260203	F	college/grad student	50
213	515	4	878870518	M	homemaker	45
23	196	2	874786926	F	clerical/admin	56
128	15	4	879968827	F	self-employed	35
239	56	4	889179478	F	college/grad student	25
181	279	1	878962955	M	artist	50
291	80	4	875086354	M	tradesman/craftsman	35
250	238	4	878089963	M	writer	35
201	649	3	884114275	F	college/grad student	1
60	60	5	883327734	F	academic/educator	1
181	325	2	878961814	F	self-employed	18
119	407	3	887038665	M	college/grad student	45
287	1	5	875334088	F	scientist	25
216	228	3	880245642	F	sales/marketing	1
216	531	4	880233810	F	college/grad student	18
203	471	4	880434463	F	self-employed	25
92	587	3	875660408	M	doctor/health care	45
13	892	3	882774224	F	retired	18
213	176	4	878956338	F	customer service	1
286	288	5	875806672	F	executive/managerial	25
117	1047	2	881009697	M	farmer	45
99	111	1	885678886	M	self-employed	56
11	558	3	891904214	M	farmer	1
65	47	2	879216672	F	scientist	56
295	194	4	879517412	M	other	18
269	217	2	891451610	M	tradesman/craftsman	1
85	259	2	881705026	F	retired	1
250	596	5	878089921	M	customer service	25
137	144	5	881433689	F	K-12 student	25
201	960	2	884112077	F	farmer	50
257	137	4	882049932	M	customer service	50
111	328	4	891679939	F	clerical/admin	35
91	480	4	891438875	M	scientist	45
215	211	4	891436202	M	executive/managerial	50
181	938	1	878961586	M	self-employed	56
189	1060	5	893264301	F	farmer	56
1	20	4	887431883	F	writer	18
303	404	4	879468375	M	college/grad student	18
299	305	3	879737314	M	academic/educator	50
187	210	4	879465242	M	college/grad student	18
222	278	2	877563913	F	clerical/admin	50
214	568	4	892668197	F	customer service	25
293	770	3	888906655	M	self-employed	18
285	191	4	890595859	F	customer service	1
303	252	3	879544791	F	clerical/admin	56
96	156	4	884402860	M	doctor/health care	25
72	1110	3	880037334	F	academic/educator	45
115	1067	4	881171009	F	tradesman/craftsman	45
7	430	3	891352178	M	unemployed	56
116	350	3	886977926	F	customer service	18
73	480	4	888625753	M	K-12 student	45
269	246	5	891457067	F	lawyer	50
263	419	5	891299514	M	clerical/admin	18
70	431	3	884150257	F	tradesman/craftsman	25
221	475	4	875244204	F	academic/educator	56
72	182	5	880036515	M	other	1
25	357	4	885852757	F	self-employed	35
290	50	5	880473582	M	farmer	35
189	526	4	893266205	F	homemaker	35
299	303	3	877618584	F	self-employed	25
264	294	3	886121516	F	other	45
200	365	5	884129962	M	homemaker	18
187	135	4	879465653	M	technician/engineer	35
184	187	4	889909024	F	farmer	1
63	289	2	875746985	F	retired	1
13	229	4	882397650	F	lawyer	1
298	486	3	884183063	M	programmer	50
235	185	4	889655435	M	lawyer	1
62	712	4	879376178	F	programmer	18
246	94	2	884923505	M	farmer	45
54	742	5	880934806	M	unemployed	56
63	762	3	875747688	F	executive/managerial	45
11	732	3	891904596	M	sales/marketing	56
92	168	4	875653723	M	tradesman/craftsman	45
8	550	3	879362356	M	academic/educator	56
307	174	4	879283480	M	sales/marketing	18
303	200	4	879468459	F	doctor/health care	56
256	849	2	882164603	M	homemaker	18
72	54	3	880036854	F	technician/engineer	18
164	406	2	889402389	F	farmer	35
117	150	4	880125101	F	clerical/admin	1
224	77	4	888103872	F	executive/managerial	35
193	869	3	889127811	M	lawyer	1
94	184	2	891720862	M	retired	18
281	338	2	881200457	M	customer service	56
130	109	3	874953794	M	academic/educator	1
128	371	1	879966954	F	sales/marketing	45
94	720	1	891723593	F	clerical/admin	50
182	845	3	885613067	F	programmer	56
129	873	1	883245452	F	tradesman/craftsman	56
254	229	4	886474580	F	sales/marketing	25
64	381	4	879365491	M	programmer	35
151	176	2	879524293	F	self-employed	1
45	25	4	881014015	F	executive/managerial	50
193	879	3	889123257	M	lawyer	56
276	922	4	889174849	M	self-employed	45
276	57	3	874787526	M	scientist	45
234	187	4	892079140	M	doctor/health care	18
181	306	1	878962006	F	self-employed	25
21	370	1	874951293	F	K-12 student	56
293	249	3	888905229	M	farmer	25
264	721	5	886123656	F	farmer	45
10	611	5	877886722	M	unemployed	45
197	346	3	891409070	M	programmer	18
276	142	3	874792945	F	unemployed	18
308	427	4	887736584	F	K-12 student	1
221	943	4	875246759	M	homemaker	25
131	126	4	883681514	M	other	35
268	824	2	876518557	F	college/grad student	50
109	8	3	880572642	F	retired	18
198	58	3	884208173	F	unemployed	56
230	680	4	880484286	F	clerical/admin	35
181	741	1	878962918	F	writer	18
192	1061	4	881368891	F	farmer	56
234	448	3	892335501	F	artist	50
90	900	4	891382309	F	programmer	35
193	941	4	889124890	M	academic/educator	25
128	603	5	879966839	F	farmer	18
126	905	2	887855283	F	lawyer	35
244	265	4	880606634	F	executive/managerial	35
90	289	3	891382310	M	clerical/admin	50
157	25	3	886890787	M	retired	45
305	71	3	886323684	F	programmer	25
119	382	5	874781742	M	clerical/admin	25
21	222	2	874951382	M	retired	25
231	181	4	888605273	M	academic/educator	50
280	508	3	891700453	M	sales/marketing	25
288	132	3	886374129	F	academic/educator	50
279	1497	2	890780576	M	programmer	45
301	33	4	882078228	M	other	18
72	699	3	880036783	F	K-12 student	25
90	259	2	891382392	M	executive/managerial	50
308	55	3	887738760	F	college/grad student	18
59	742	3	888203053	F	college/grad student	1
94	744	4	891721462	F	executive/managerial	56
130	642	4	875216933	M	sales/marketing	18
26	1015	3	891352136	M	homemaker	35
56	121	5	892679480	M	homemaker	56
82	508	2	884714249	F	sales/marketing	25
62	12	4	879373613	M	doctor/health care	35
276	40	3	874791871	M	scientist	18
181	1015	1	878963121	F	technician/engineer	50
152	301	3	880147407	F	K-12 student	50
178	845	4	882824291	F	K-12 student	56
217	597	4	889070087	F	college/grad student	25
79	303	4	891271203	F	programmer	50
138	484	4	879024127	M	technician/engineer	1
308	81	5	887737293	F	customer service	18
75	284	2	884050393	F	customer service	56
269	198	4	891447062	F	scientist	56
307	94	3	877122695	M	lawyer	25
222	781	3	881059677	F	clerical/admin	35
121	740	3	891390544	M	college/grad student	56
269	22	1	891448072	M	K-12 student	45
13	864	4	882141924	F	programmer	56
230	742	5	880485043	M	sales/marketing	25
269	507	4	891448800	F	executive/managerial	1
239	1099	5	889179253	M	scientist	18
245	1028	5	888513447	F	sales/marketing	35
56	546	3	892679460	F	programmer	45
295	961	5	879519556	M	retired	18
271	1028	2	885848102	M	farmer	56
222	812	2	881059117	M	writer	50
69	240	3	882126156	F	farmer	35
10	7	4	877892210	M	unemployed	45
22	376	3	878887112	M	unemployed	35
294	931	3	889242857	F	K-12 student	35
82	717	1	884714492	F	farmer	18
279	399	4	875313859	F	retired	1
269	234	1	891449406	F	homemaker	50
6	98	5	883600680	M	customer service	18
243	1039	4	879988184	M	other	45
298	181	4	884125629	F	writer	56
282	325	1	881703044	M	self-employed	50
78	323	1	879633567	M	tradesman/craftsman	45
118	200	5	875384647	M	other	45
283	1114	5	879297545	M	homemaker	1
171	292	4	891034835	F	sales/marketing	50
70	217	4	884151119	F	lawyer	18
10	100	5	877891747	M	doctor/health care	25
245	181	4	888513664	F	clerical/admin	45
107	333	3	891264267	M	scientist	25
246	561	1	884923445	F	lawyer	18
13	901	1	883670672	F	tradesman/craftsman	25
276	70	4	874790826	F	homemaker	56
244	17	2	880607205	M	technician/engineer	50
189	56	5	893265263	F	doctor/health care	1
226	242	5	883888671	M	technician/engineer	50
62	1016	4	879373008	F	K-12 student	56
276	417	4	874792907	F	lawyer	25
214	478	4	891544052	F	scientist	1
306	235	4	876504354	M	farmer	35
222	26	3	878183043	M	homemaker	45
280	631	5	891700751	M	retired	50
60	430	5	883326122	F	unemployed	18
56	71	4	892683275	F	customer service	25
42	274	5	881105817	M	tradesman/craftsman	1
1	202	5	875072442	F	tradesman/craftsman	18
13	809	4	882397582	F	programmer	50
173	289	4	877556988	F	programmer	35
15	749	1	879455311	F	executive/managerial	50
185	23	4	883524249	F	unemployed	35
280	540	3	891702304	M	academic/educator	18
244	381	4	880604077	M	doctor/health care	1
150	293	4	878746946	M	clerical/admin	18
7	497	4	891352134	F	technician/engineer	18
178	317	4	882826915	M	unemployed	35
178	742	3	882823833	M	customer service	1
95	1217	3	880572658	F	technician/engineer	1
234	1462	3	892333865	M	artist	18
97	222	5	884238887	M	K-12 student	45
109	127	2	880563471	M	unemployed	35
117	268	5	880124306	M	college/grad student	1
269	705	2	891448850	F	programmer	50
130	1246	3	876252497	M	farmer	50
264	655	4	886123530	F	farmer	50
207	13	3	875506839	F	technician/engineer	25
42	588	5	881108147	F	homemaker	50
246	409	2	884923372	F	writer	56
87	367	4	879876702	M	programmer	45
101	304	3	877135677	F	writer	50
256	127	4	882164406	M	writer	50
92	794	3	875654798	M	writer	35
181	762	2	878963418	F	programmer	18
213	235	1	878955115	F	homemaker	45
92	739	2	876175582	M	scientist	35
292	661	5	881105561	M	lawyer	45
246	665	4	884922831	M	scientist	56
274	845	5	878945579	F	self-employed	1
188	692	5	875072583	F	customer service	35
18	86	4	880129731	F	programmer	56
5	439	1	878844423	F	technician/engineer	35
236	632	3	890116254	F	doctor/health care	18
193	407	4	889127921	F	programmer	18
144	709	4	888105940	M	artist	25
90	1198	5	891383866	F	lawyer	1
48	609	4	879434819	M	scientist	35
5	225	2	875635723	M	scientist	50
22	128	5	878887983	F	customer service	45
311	432	4	884365485	M	academic/educator	35
8	22	5	879362183	F	programmer	56
276	188	4	874792547	F	college/grad student	35
222	173	5	878183043	F	unemployed	50
72	866	4	880035887	M	technician/engineer	25
299	134	4	878192311	F	artist	25
1	171	5	889751711	M	clerical/admin	18
308	295	3	887741461	F	clerical/admin	18
165	216	4	879525778	F	technician/engineer	45
222	49	3	878183512	M	executive/managerial	50
181	121	4	878962623	M	homemaker	56
200	11	5	884129542	F	executive/managerial	45
234	626	4	892336358	F	other	50
244	707	4	880606243	M	clerical/admin	25
90	25	5	891384789	M	executive/managerial	35
208	216	5	883108324	M	self-employed	35
263	96	4	891298336	M	executive/managerial	18
134	323	4	891732335	M	programmer	45
279	586	4	892864663	M	executive/managerial	50
2	292	4	888550774	F	unemployed	25
288	593	2	886892127	F	clerical/admin	50
49	302	4	888065432	M	unemployed	1
286	153	5	877531406	M	homemaker	35
205	304	3	888284313	M	clerical/admin	35
22	80	4	878887227	F	college/grad student	25
234	318	4	892078890	F	executive/managerial	45
223	328	3	891548959	M	other	1
15	25	3	879456204	F	technician/engineer	35
268	147	4	876514002	F	technician/engineer	50
94	1220	3	891722678	F	academic/educator	25
274	405	4	878945840	M	lawyer	1
7	492	5	891352010	M	doctor/health care	35
268	217	2	875744501	F	lawyer	35
16	55	5	877717956	F	college/grad student	56
164	620	3	889402298	M	self-employed	35
290	161	4	880474293	M	tradesman/craftsman	45
92	515	4	875640800	F	sales/marketing	56
239	1070	5	889179032	F	academic/educator	35
56	449	5	892679308	F	programmer	56
